Matricula,Secretaria,Codigo Lotação,Nome Lotação,Código Cargo,Verbas Fixas,Cargo Comissão / Função Gratificada,Produtividade,Hora Extra,Sucumbência,Eventual,Adic.Crg./ Local/Jorn.,Salário Atraso,Prêmio Férias,Licença Prêmio,13º Salário,Total Bruto,Deduções,Bruto c/ Deduções
288470,Administração,A0005,COORD. SET. ADMINISTRATIVA              ,61011 - MONITOR INFANTO JUVENIL I, 286069, 000, 000, 000, 000, 000, 000, 4807, 000, 000, 000, 290876, 000, 290876
289701,Administração,A0135,DEPTO. CENTRAL DE COMPRAS               ,95370 - ECONOMISTA, 907981, 126841, 000, 000, 000, 000, 000, 000, 000, 000, 000, 1034822, 000, 1034822
362506,Administração,A0001,GABINETE DO SECRETARIO                  ,25101 - OPERADOR FROTA DE AMBULANCIA, 425910, 138379, 000, 000, 000, 000, 000, 000, 000, 000, 000, 564289, 000, 564289
366447,Administração,A0006,SETOR DE EXPEDIENTE                     ,95010 - AG. APOIO OPERACIONAL, 193071, 000, 000, 000, 000, 000, 000, 000, 64357, 000, 000, 257428, 000, 257428
367656,Administração,A0135,DEPTO. CENTRAL DE COMPRAS               ,95010 - AG. APOIO OPERACIONAL, 196296, 765741, 000, 000, 000, 000, 000, 000, 000, 000, 000, 962037, 000, 962037
368105,Administração,A0005,COORD. SET. ADMINISTRATIVA              ,95020 - AG.APOIO ADMINISTRATIVO, 525363, 263573, 000, 000, 000, 000, 000, 3686, 000, 000, 000, 792622, 000, 792622
368733,Administração,A0145,SETOR DE ARMAZENAGEM E ESTOCAGEM        ,95010 - AG. APOIO OPERACIONAL, 301423, 346363, 000, 000, 000, 000, 27174, 000, 000, 000, 000, 674960, 000, 674960
368903,Administração,A0001,GABINETE DO SECRETARIO                  ,95020 - AG.APOIO ADMINISTRATIVO, 457575, 55352, 000, 000, 000, 000, 000, 000, 000, 000, 000, 512927, 000, 512927
369071,Administração,A0006,SETOR DE EXPEDIENTE                     ,95080 - AG.ADMINISTRATIVO, 528444, 33463, 000, 000, 000, 000, 000, 5225, 000, 000, 000, 567132, 000, 567132
370274,Administração,A0025,DEPTO. ADMINISTRATIVO                   ,95020 - AG.APOIO ADMINISTRATIVO, 858397, 191625, 000, 000, 000, 000, 000, 000, 000, 000, 000, 1050022, 000, 1050022
372870,Administração,A0150,SETOR DE CONTROLE CONTABIL              ,95010 - AG. APOIO OPERACIONAL, 485242, 187206, 000, 000, 000, 000, 000, 000, 000, 000, 000, 672448, 000, 672448
375225,Administração,A0090,DEPTO. DE TRANSPORTES INTERNO           ,95010 - AG. APOIO OPERACIONAL, 314976, 46124, 000, 000, 000, 000, 36240, 000, 000, 000, 000, 397340, 000, 397340
375594,Administração,A0135,DEPTO. CENTRAL DE COMPRAS               ,95080 - AG.ADMINISTRATIVO, 497571, 665700, 000, 000, 000, 000, 000, 12543, 000, 000, 000, 1175814, 000, 1175814
376043,Administração,A0090,DEPTO. DE TRANSPORTES INTERNO           ,95010 - AG. APOIO OPERACIONAL, 274481, 115309, 000, 000, 000, 000, 000, 000, 000, 000, 000, 389790, 000, 389790
376272,Administração,A0001,GABINETE DO SECRETARIO                  ,95080 - AG.ADMINISTRATIVO, 485283, 579534, 000, 000, 000, 000, 000, 000, 000, 000, 000, 1064817, 000, 1064817
376841,Administração,A0090,DEPTO. DE TRANSPORTES INTERNO           ,95010 - AG. APOIO OPERACIONAL, 194683, 138371, 000, 000, 000, 000, 36240, 000, 000, 000, 000, 369294, 000, 369294
377015,Administração,A0060,COORD. SET. DE PATRIMONIO               ,95010 - AG. APOIO OPERACIONAL, 185439, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 185439, 000, 185439
377856,Administração,A0005,COORD. SET. ADMINISTRATIVA              ,95010 - AG. APOIO OPERACIONAL, 211479, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 211479, 000, 211479
378313,Administração,A0120,SETOR DE MANUTENCAO DE MAQUINAS         ,95010 - AG. APOIO OPERACIONAL, 242328, 292510, 000, 000, 000, 000, 000, 000, 000, 000, 000, 534838, 000, 534838
380695,Administração,A0001,GABINETE DO SECRETARIO                  ,95010 - AG. APOIO OPERACIONAL, 285203, 129154, 000, 000, 000, 000, 000, 4793, 138119, 000, 000, 557269, 000, 557269
381101,Administração,A0135,DEPTO. CENTRAL DE COMPRAS               ,95080 - AG.ADMINISTRATIVO, 667835, 221219, 000, 000, 000, 000, 000, 9593, 000, 000, 000, 898647, 000, 898647
382027,Administração,A0001,GABINETE DO SECRETARIO                  ,95080 - AG.ADMINISTRATIVO, 1015889, 000, 000, 000, 000, 000, 000, 000, 169315, 000, 000, 1185204, 000, 1185204
437433,Administração,A0135,DEPTO. CENTRAL DE COMPRAS               ,95080 - AG.ADMINISTRATIVO, 834695, 219316, 000, 000, 000, 000, 000, 000, 000, 000, 000, 1054011, 000, 1054011
507989,Administração,A0100,SETOR DE CONTROLE DE TRANSPORTES        ,95080 - AG.ADMINISTRATIVO, 1214445, 000, 000, 000, 000, 000, 111265, 000, 000, 000, 000, 1325710, 000, 1325710
596825,Administração,A0001,GABINETE DO SECRETARIO                  ,95510 - PROCURADOR, 1788622, 160134, 560524, 000, 667365, 000, 000, 000, 000, 000, 000, 3176645, 000, 3176645
647071,Administração,A0165,SETOR DE PUBLICACAO E REGISTRO          ,95015 - AG. APOIO OPERACIONAL, 310885, 199884, 000, 000, 000, 000, 000, 000, 000, 000, 000, 510769, 000, 510769
651907,Administração,A0090,DEPTO. DE TRANSPORTES INTERNO           ,95020 - AG.APOIO ADMINISTRATIVO, 320302, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 320302, 000, 320302
651940,Administração,A0060,COORD. SET. DE PATRIMONIO               ,95015 - AG. APOIO OPERACIONAL, 309849, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 309849, 000, 309849
652024,Administração,A0135,DEPTO. CENTRAL DE COMPRAS               ,95180 - AG.SUPORTE TECNICO, 1023757, 1052063, 000, 000, 000, 000, 000, 14453, 000, 000, 000, 2090273, 000, 2090273
655465,Administração,A0025,DEPTO. ADMINISTRATIVO                   ,95060 - TELEFONISTA, 273337, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 273337, 000, 273337
656453,Administração,A0140,COORD. SET. DE ALMOXARIFADO CENTRAL     ,95010 - AG. APOIO OPERACIONAL, 282630, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 282630, 000, 282630
673390,Administração,A0060,COORD. SET. DE PATRIMONIO               ,95015 - AG. APOIO OPERACIONAL, 299182, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 299182, 000, 299182
673773,Administração,A0165,SETOR DE PUBLICACAO E REGISTRO          ,95015 - AG. APOIO OPERACIONAL, 299181, 366518, 000, 000, 000, 000, 000, 56839, 000, 000, 000, 722538, 000, 722538
