Matricula,Secretaria,Codigo Lotação,Nome Lotação,Código Cargo,Verbas Fixas,Cargo Comissão / Função Gratificada,Produtividade,Hora Extra,Sucumbência,Eventual,Adic.Crg./ Local/Jorn.,Salário Atraso,Prêmio Férias,Licença Prêmio,13º Salário,Total Bruto,Deduções,Bruto c/ Deduções
105627,Administração,A0025,DEPTO. ADMINISTRATIVO                   ,95015 - AG. APOIO OPERACIONAL         , 407825, 000, 000,000, 000, 000, 000, 4705, 000, 000, 000, 412530, 000, 412530
288470,Administração,A0005,COORD. SET. ADMINISTRATIVA              ,61011 - MONITOR INFANTO JUVENIL I     , 274049, 000, 000,000, 000, 000, 000, 000, 000, 000, 000, 274049, 000, 274049
289701,Administração,A0135,DEPTO. CENTRAL DE COMPRAS               ,95370 - ECONOMISTA                    , 907981, 336744, 000,000, 000, 291845, 000, 000, 000, 000, 000, 1536570, 000, 1536570
291250,Administração,A0025,DEPTO. ADMINISTRATIVO                   ,95494 - ENGENHEIRO                    , 1273653, 000, 000,000, 000, 000, 000, 642177, 000, 000, 000, 1915830, 000, 1915830
362506,Administração,A0001,GABINETE DO SECRETARIO                  ,25101 - OPERADOR FROTA DE AMBULANCIA  , 425910, 138379, 000,000, 000, 239857, 000, 000, 46126, 000, 000, 850272, 000, 850272
367362,Administração,A0025,DEPTO. ADMINISTRATIVO                   ,95010 - AG. APOIO OPERACIONAL         , 453928, 000, 000,000, 000, 000, 000, 000, 000, 000, 000, 453928, 000, 453928
367656,Administração,A0135,DEPTO. CENTRAL DE COMPRAS               ,95010 - AG. APOIO OPERACIONAL         , 194683, 765741, 000,000, 000, 000, 000, 000, 000, 000, 000, 960424, 000, 960424
368105,Administração,A0005,COORD. SET. ADMINISTRATIVA              ,95020 - AG.APOIO ADMINISTRATIVO       , 259946, 527145, 000,000, 000, 000, 000, 000, 000, 000, 000, 787091, 000, 787091
368733,Administração,A0145,SETOR DE ARMAZENAGEM E ESTOCAGEM        ,95010 - AG. APOIO OPERACIONAL         , 611491, 34636, 000,000, 000, 000, 36240, 000, 000, 000, 000, 682367, 000, 682367
368903,Administração,A0135,DEPTO. CENTRAL DE COMPRAS               ,95020 - AG.APOIO ADMINISTRATIVO       , 303406, 207569, 000,000, 000, 179893, 000, 000, 000, 000, 000, 690868, 000, 690868
369071,Administração,A0006,SETOR DE EXPEDIENTE                     ,95080 - AG.ADMINISTRATIVO             , 308325, 250971, 000,000, 000, 000, 000, 000, 000, 000, 000, 559296, 000, 559296
370274,Administração,A0001,GABINETE DO SECRETARIO                  ,95020 - AG.APOIO ADMINISTRATIVO       , 570959, 479063, 000,000, 000, 000, 000, 000, 000, 000, 000, 1050022, 000, 1050022
372870,Administração,A0150,SETOR DE CONTROLE CONTABIL              ,95010 - AG. APOIO OPERACIONAL         , 319647, 351012, 000,000, 000, 000, 000, 000, 000, 000, 000, 670659, 000, 670659
374903,Administração,A0001,GABINETE DO SECRETARIO                  ,95080 - AG.ADMINISTRATIVO             , 320881, 276758, 000,000, 000, 239857, 000, 000, 000, 000, 000, 837496, 000, 837496
375594,Administração,A0135,DEPTO. CENTRAL DE COMPRAS               ,95080 - AG.ADMINISTRATIVO             , 493390, 665700, 000,000, 000, 000, 000, 000, 000, 000, 000, 1159090, 000, 1159090
376043,Administração,A0001,GABINETE DO SECRETARIO                  ,95010 - AG. APOIO OPERACIONAL         , 251420, 207569, 000,000, 000, 179893, 000, 000, 000, 000, 000, 638882, 000, 638882
376272,Administração,A0001,GABINETE DO SECRETARIO                  ,95080 - AG.ADMINISTRATIVO             , 481809, 579534, 000,000, 000, 000, 000, 000, 000, 000, 000, 1061343, 000, 1061343
376841,Administração,A0001,GABINETE DO SECRETARIO                  ,95010 - AG. APOIO OPERACIONAL         , 188233, 207569, 000,000, 000, 179893, 36240, 000, 000, 000, 000, 611935, 000, 611935
377015,Administração,A0060,COORD. SET. DE PATRIMONIO               ,95010 - AG. APOIO OPERACIONAL         , 183826, 000, 000,000, 000, 000, 000, 000, 000, 000, 000, 183826, 000, 183826
377856,Administração,A0005,COORD. SET. ADMINISTRATIVA              ,95010 - AG. APOIO OPERACIONAL         , 211479, 000, 000,000, 000, 000, 000, 4837, 000, 000, 000, 216316, 000, 216316
378313,Administração,A0120,SETOR DE MANUTENCAO DE MAQUINAS         ,95010 - AG. APOIO OPERACIONAL         , 183826, 351012, 000,000, 000, 000, 000, 000, 000, 000, 000, 534838, 000, 534838
380695,Administração,A0001,GABINETE DO SECRETARIO                  ,95010 - AG. APOIO OPERACIONAL         , 282806, 198343, 000,000, 000, 171897, 000, 000, 000, 000, 000, 653046, 000, 653046
381101,Administração,A0135,DEPTO. CENTRAL DE COMPRAS               ,95080 - AG.ADMINISTRATIVO             , 443417, 442437, 000,000, 000, 000, 000, 000, 000, 000, 000, 885854, 000, 885854
382027,Administração,A0001,GABINETE DO SECRETARIO                  ,95080 - AG.ADMINISTRATIVO             , 1015888, 000, 000,000, 000, 000, 000, 000, 000, 000, 000, 1015888, 000, 1015888
436054,Administração,A0001,GABINETE DO SECRETARIO                  ,95080 - AG.ADMINISTRATIVO             , 472588, 000, 000,000, 000, 000, 000, 000, 000, 000, 000, 472588, 472588, 000
437433,Administração,A0135,DEPTO. CENTRAL DE COMPRAS               ,95080 - AG.ADMINISTRATIVO             , 344864, 657949, 000,000, 000, 000, 000, 000, 000, 000, 000, 1002813, 000, 1002813
507989,Administração,A0100,SETOR DE CONTROLE DE TRANSPORTES        ,95080 - AG.ADMINISTRATIVO             , 1206743, 000, 000,000, 000, 000, 115500, 000, 000, 000, 000, 1322243, 000, 1322243
596825,Administração,A0001,GABINETE DO SECRETARIO                  ,95510 - PROCURADOR                    , 1775629, 160134, 186841,000, 147467, 138783, 000, 000, 21351, 000, 000, 2430205, 000, 2430205
647071,Administração,A0165,SETOR DE PUBLICACAO E REGISTRO          ,95015 - AG. APOIO OPERACIONAL         , 269460, 239861, 000,000, 000, 000, 000, 000, 000, 000, 000, 509321, 000, 509321
650170,Administração,A0025,DEPTO. ADMINISTRATIVO                   ,95010 - AG. APOIO OPERACIONAL         , 274853, 000, 000,000, 000, 000, 000, 000, 000, 000, 000, 274853, 000, 274853
651907,Administração,A0090,DEPTO. DE TRANSPORTES INTERNO           ,95020 - AG.APOIO ADMINISTRATIVO       , 320302, 000, 000,000, 000, 000, 000, 000, 000, 000, 000, 320302, 000, 320302
651940,Administração,A0060,COORD. SET. DE PATRIMONIO               ,95015 - AG. APOIO OPERACIONAL         , 308415, 000, 000,000, 000, 000, 000, 000, 000, 000, 000, 308415, 000, 308415
652024,Administração,A0135,DEPTO. CENTRAL DE COMPRAS               ,95180 - AG.SUPORTE TECNICO            , 1542563, 526032, 000,000, 000, 000, 000, 000, 000, 000, 000, 2068595, 000, 2068595
655465,Administração,A0025,DEPTO. ADMINISTRATIVO                   ,95060 - TELEFONISTA                   , 273338, 000, 000,000, 000, 000, 000, 000, 000, 000, 000, 273338, 000, 273338
656453,Administração,A0140,COORD. SET. DE ALMOXARIFADO CENTRAL     ,95010 - AG. APOIO OPERACIONAL         , 282631, 000, 000,000, 000, 000, 000, 000, 000, 000, 000, 282631, 000, 282631
673390,Administração,A0060,COORD. SET. DE PATRIMONIO               ,95015 - AG. APOIO OPERACIONAL         , 299182, 000, 000,000, 000, 000, 000, 5829, 000, 000, 000, 305011, 000, 305011
673773,Administração,A0165,SETOR DE PUBLICACAO E REGISTRO          ,95015 - AG. APOIO OPERACIONAL         , 296266, 366518, 000,000, 000, 000, 000, 000, 000, 000, 000, 662784, 000, 662784
680192,Administração,A0025,DEPTO. ADMINISTRATIVO                   ,95015 - AG. APOIO OPERACIONAL         , 256897, 000, 000,000, 000, 000, 000, 000, 000, 000, 000, 256897, 000, 256897
732095,Administração,A0026,COORD. SET. DE PLANEJAMENTO             ,95180 - AG.SUPORTE TECNICO            , 724538, 000, 000,000, 000, 000, 000, 000, 000, 000, 000, 724538, 000, 724538
744743,Administração,A0110,SETOR DE ADMINISTRACAO                  ,95020 - AG.APOIO ADMINISTRATIVO       , 569551, 000, 000,000, 000, 000, 36240, 000, 000, 000, 000, 605791, 000, 605791
770540,Administração,A0100,SETOR DE CONTROLE DE TRANSPORTES        ,95070 - COND.VEICULOS MAQUINAS        , 747977, 000, 000,000, 000, 000, 000, 12797, 000, 000, 000, 760774, 000, 760774
783862,Administração,A0025,DEPTO. ADMINISTRATIVO                   ,95015 - AG. APOIO OPERACIONAL         , 392300, 000, 000,000, 000, 000, 000, 000, 000, 000, 000, 392300, 000, 392300
815179,Administração,A0095,COORD. SET. DE OPERACOES                ,14001 - BORRACHEIRO                   , 500800, 000, 000,000, 000, 000, 000, 000, 000, 000, 000, 500800, 000, 500800
848620,Administração,A0060,COORD. SET. DE PATRIMONIO               ,95080 - AG.ADMINISTRATIVO             , 756829, 417703, 000,000, 000, 000, 000, 000, 366510, 000, 549765, 2090807, 000, 2090807
861430,Administração,A0100,SETOR DE CONTROLE DE TRANSPORTES        ,95020 - AG.APOIO ADMINISTRATIVO       , 388462, 305438, 000,000, 000, 000, 100254, 000, 380, 000, 000, 794534, 000, 794534
867870,Administração,A0125,SETOR DE MANUTENCAO DE VEICULOS         ,16011 - MECANICO DE VEICULOS          , 405415, 000, 000,000, 000, 000, 000, 000, 000, 000, 000, 405415, 000, 405415
872970,Administração,A0090,DEPTO. DE TRANSPORTES INTERNO           ,95260 - TECNICO CONTABILIDADE         , 1420964, 000, 000,000, 000, 000, 115500, 000, 000, 000, 000, 1536464, 000, 1536464
877220,Administração,A0095,COORD. SET. DE OPERACOES                ,95010 - AG. APOIO OPERACIONAL         , 357628, 000, 000,000, 000, 000, 000, 000, 000, 000, 000, 357628, 000, 357628
877239,Administração,A0095,COORD. SET. DE OPERACOES                ,95080 - AG.ADMINISTRATIVO             , 711074, 426198, 000,000, 000, 000, 000, 000, 000, 000, 000, 1137272, 000, 1137272
882020,Administração,A0125,SETOR DE MANUTENCAO DE VEICULOS         ,16011 - MECANICO DE VEICULOS          , 367074, 305438, 000,000, 000, 000, 27174, 000, 000, 000, 000, 699686, 000, 699686
