Matricula,Secretaria,Codigo Lotação,Nome Lotação,Código Cargo,Verbas Fixas,Cargo Comissão / Função Gratificada,Produtividade,Hora Extra,Sucumbência,Eventual,Adic.Crg./ Local/Jorn.,Salário Atraso,Prêmio Férias,Licença Prêmio,13º Salário,Total Bruto,Deduções,Bruto c/ Deduções
288470,Administração,A0005,COORD. SET. ADMINISTRATIVA              ,"61011 - MONITOR INFANTO JUVENIL I       
", 274049, 000, 000, 000, 000, 000, 000, 000, 91350, 000, 137025, 502424, 000, 502424
289701,Administração,A0001,GABINETE DO SECRETARIO                  ,"95370 - ECONOMISTA                      
", 1124994, 7483, 000, 000, 000, 000, 000, 000, 000, 000, 000, 1132477, 000, 1132477
362506,Administração,A0001,GABINETE DO SECRETARIO                  ,"25101 - OPERADOR FROTA DE AMBULANCIA    
", 336731, 135304, 000, 000, 000, 000, 000, 000, 000, 000, 000, 472035, 000, 472035
366447,Administração,A0006,SETOR DE EXPEDIENTE                     ,"95010 - AG. APOIO OPERACIONAL           
", 191458, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 191458, 000, 191458
367656,Administração,A0135,DEPTO. CENTRAL DE COMPRAS               ,"95010 - AG. APOIO OPERACIONAL           
", 194683, 765741, 000, 000, 000, 000, 000, 000, 000, 000, 000, 960424, 000, 960424
368105,Administração,A0005,COORD. SET. ADMINISTRATIVA              ,"95020 - AG.APOIO ADMINISTRATIVO         
", 259946, 527145, 000, 000, 000, 000, 000, 000, 131182, 000, 393546, 1311819, 000, 1311819
368733,Administração,A0145,SETOR DE ARMAZENAGEM E ESTOCAGEM        ,"95010 - AG. APOIO OPERACIONAL           
", 301423, 346363, 000, 000, 000, 000, 36240, 000, 000, 000, 000, 684026, 000, 684026
368903,Administração,A0135,DEPTO. CENTRAL DE COMPRAS               ,"95020 - AG.APOIO ADMINISTRATIVO         
", 374549, 69190, 000, 000, 000, 000, 000, 000, 000, 000, 000, 443739, 000, 443739
369071,Administração,A0006,SETOR DE EXPEDIENTE                     ,"95080 - AG.ADMINISTRATIVO               
", 308325, 250971, 000, 000, 000, 000, 000, 000, 000, 000, 000, 559296, 000, 559296
370274,Administração,A0001,GABINETE DO SECRETARIO                  ,"95020 - AG.APOIO ADMINISTRATIVO         
", 570959, 479063, 000, 000, 000, 000, 000, 000, 000, 000, 000, 1050022, 000, 1050022
372870,Administração,A0150,SETOR DE CONTROLE CONTABIL              ,"95010 - AG. APOIO OPERACIONAL           
", 322679, 351012, 000, 000, 000, 000, 000, 11287, 000, 000, 000, 684978, 000, 684978
374903,Administração,A0001,GABINETE DO SECRETARIO                  ,"95080 - AG.ADMINISTRATIVO               
", 320881, 184505, 000, 000, 000, 000, 000, 000, 000, 000, 000, 505386, 000, 505386
