Matricula,Secretaria,Codigo Lotação,Nome Lotação,Código Cargo,Verbas Fixas,Cargo Comissão / Função Gratificada,Produtividade,Hora Extra,Sucumbência,Eventual,Adic.Crg./ Local/Jorn.,Salário Atraso,Prêmio Férias,Licença Prêmio,13º Salário,Total Bruto,Deduções,Bruto c/ Deduções
288470,Administração,A0005,COORD. SET. ADMINISTRATIVA              ,"61011 - MONITOR INFANTO JUVENIL I       
", 274049, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 274049, 000, 274049
289701,Administração,A0135,DEPTO. CENTRAL DE COMPRAS               ,"95370 - ECONOMISTA                      
", 907981, 336744, 000, 000, 000, 000, 000, 000, 000, 000, 000, 1244725, 000, 1244725
362506,Administração,A0001,GABINETE DO SECRETARIO                  ,"25101 - OPERADOR FROTA DE AMBULANCIA    
", 287530, 276758, 000, 000, 000, 000, 000, 000, 000, 000, 000, 564288, 000, 564288
367656,Administração,A0135,DEPTO. CENTRAL DE COMPRAS               ,"95010 - AG. APOIO OPERACIONAL           
", 194683, 765741, 000, 000, 000, 000, 000, 000, 000, 000, 000, 960424, 000, 960424
368105,Administração,A0005,COORD. SET. ADMINISTRATIVA              ,"95020 - AG.APOIO ADMINISTRATIVO         
", 259946, 527145, 000, 000, 000, 000, 000, 000, 000, 000, 000, 787091, 000, 787091
368733,Administração,A0145,SETOR DE ARMAZENAGEM E ESTOCAGEM        ,"95010 - AG. APOIO OPERACIONAL           
", 299764, 346363, 000, 000, 000, 000, 000, 000, 000, 000, 000, 646127, 000, 646127
368903,Administração,A0135,DEPTO. CENTRAL DE COMPRAS               ,"95020 - AG.APOIO ADMINISTRATIVO         
", 305359, 207569, 000, 000, 000, 000, 000, 3904, 000, 000, 000, 516832, 000, 516832
369071,Administração,A0006,SETOR DE EXPEDIENTE                     ,"95080 - AG.ADMINISTRATIVO               
", 308325, 250971, 000, 000, 000, 000, 000, 000, 000, 000, 000, 559296, 000, 559296
370274,Administração,A0001,GABINETE DO SECRETARIO                  ,"95020 - AG.APOIO ADMINISTRATIVO         
", 570959, 479063, 000, 000, 000, 000, 000, 000, 000, 000, 000, 1050022, 000, 1050022
372870,Administração,A0150,SETOR DE CONTROLE CONTABIL              ,"95010 - AG. APOIO OPERACIONAL           
", 319647, 351012, 000, 000, 000, 000, 000, 000, 000, 000, 000, 670659, 000, 670659
374903,Administração,A0001,GABINETE DO SECRETARIO                  ,"95080 - AG.ADMINISTRATIVO               
", 588414, 9225, 000, 000, 000, 000, 000, 000, 000, 000, 000, 597639, 000, 597639
375594,Administração,A0135,DEPTO. CENTRAL DE COMPRAS               ,"95080 - AG.ADMINISTRATIVO               
", 826242, 332850, 000, 000, 000, 000, 000, 000, 000, 000, 000, 1159092, 000, 1159092
376043,Administração,A0001,GABINETE DO SECRETARIO                  ,"95010 - AG. APOIO OPERACIONAL           
", 251420, 207569, 000, 000, 000, 000, 000, 000, 000, 000, 000, 458989, 000, 458989
